,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor
719,Power Gummies,healthtech,bridge,948512359.4238179,new delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,2018.0,Divij Bajaj,Venture Catalysts
720,Cityflo,transportation,series a,70000000.0,mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,2015.0,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient"
721,AlgoBulls,trading platform,seed,2000000.0,mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,2019.0,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts
722,Credgenics,fintech,pre-series a,30000000.0,gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures"
723,Inntot,tech company,seed,948512359.4238179,kerala,"Inntot Technologies, is a technology driven company.",2020,2014.0,Rajith Nair,Unicorn India Ventures
724,Ensuredit,fintech,pre-series a,3000000.0,gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,2019.0,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts
725,Shipsy,ai,series a,60000000.0,gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,2015.0,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners"
726,ERPNext,tech company,seed,10000000.0,mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,2008.0,Rushabh Mehta,Rainmatter
727,LightSpeedAI,photonics startup,seed,948512359.4238179,bengaluru,Developer of an optoelectronic processor designed to accelerate AI computations.,2020,2019.0,"Rohin Y, PV Ramana","YourNest, growX ventures"
728,Grip Invest,fintech,pre-series a,948512359.4238179,gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,2020.0,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital
729,Unacademy,edtech,seed,948512359.4238179,bengaluru,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020,2015.0,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management"
730,Yellow Classes,edtech,pre-series a,13000000.0,gurugram,New-age fun-learning platform for kids.,2020,2020.0,"Arpit Mittal, Anshul Gupta",India Quotient
731,Plum,healthtech,seed,41000000.0,bengaluru,High quality health insurance and health benefits,2020,2019.0,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners"
732,STAGE,entertainment,seed,10000000.0,indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,2019.0,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts
733,Nykaa,cosmetics,seed,948512359.4238179,mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,2012.0,Falguni Nayar,"Alia Bhatt, Katrina Kaif"
734,Kaagaz Scanner,scanning app,seed,5750000.0,,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,2020.0,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures
735,NIRA,fintech,seed,10000000.0,bengaluru,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,2017.0,"Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars"
736,Prolixr,skincare startup,seed,948512359.4238179,gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020,2018.0,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj"
737,Byju's,edtech,seed,2000000000.0,bengaluru,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,2011.0,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management"
738,DaMENSCH,e-commerce,seed,60000000.0,bengaluru,DaMENSCH is a designer and seller of men's apparel.,2020,2018.0,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India"
739,Country Delight,food and beverages,series c,250000000.0,haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,2015.0,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India"
740,SignalX,ai,seed,8000000.0,hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,2018.0,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels"
741,Lancify,edtech,seed,3000000.0,bengaluru,Lancify is building the world's strongest young workforce,2020,2018.0,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator"
742,Krimanshi,biotechnology company,seed,6000000.0,jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015.0,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City"
743,Instoried,ai,pre-series a,10000000.0,bengaluru,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,2018.0,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV"
744,PlayerzPot,gaming,series a,30000000.0,mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,2015.0,"Yogesh, Mitesh Gangar",
745,Instamojo,fintech,seed,948512359.4238179,bengaluru,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020,2012.0,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital"
746,Turtlemint,healthtech,seed,300000000.0,mumbai,Turtlemint has built Indian personalized insurance platform,2020,2015.0,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator"
747,Arata,e-commerce,pre-series a,10000000.0,new delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,2017.0,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners
748,MPL,gaming,seed,50000000.0,bengaluru,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners"
749,True Balance,fintech,seed,280000000.0,gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,2014.0,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners"
750,Thrive,foodtech,pre-series a,948512359.4238179,mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,2020.0,"Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital"
751,Kitchens Centre,proptech,pre-series a,948512359.4238179,new delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,2019.0,Lakshay Jain,"Jonathan Swanson, Ankush Gera"
752,Prescribe,healthtech,seed,1000000.0,chennai,Provide online services to patients by leveraging WhatsApp.,2020,2019.0,Nived Narayanan,Titan Capital
753,Nepra,cleantech,series c,180000000.0,ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,2006.0,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital"
754,inFeedo,saas,seed,32000000.0,gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,2013.0,Tanmaya Jain,"Peyush Bansal, Ritesh Malik"
755,Shilpa Sciences,healthtech,pre-series a,948512359.4238179,bengaluru,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,2014.0,Ashwin Lal,AngelList India
756,Arzooo,tech startup,seed,948512359.4238179,bengaluru,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020,2016.0,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group"
757,MindTickle,saas,debt,1000000000.0,pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,2011.0,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital"
759,Slice,fintech,debt,50000000.0,bengaluru,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,2016.0,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy"
760,Rapawalk,e-commerce,seed,3000000.0,bengaluru,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,2017.0,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati"
761,Oga Fit's,healthcare,pre-series a,948512359.4238179,bengaluru,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,2017.0,Ashish Rawat,9Unicorns
762,LAVAL,cosmetics,pre-series a,948512359.4238179,bengaluru,"Laval Cosmetics, affordable makeup for all ages",2020,2016.0,"Shrishti, Prithika",Jazal Group
763,Stride Ventures,venture capitalist,seed,800000000.0,new delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,2019.0,Ishpreet Gandhi,Small Industries Development Bank of India
764,BlackSoil,fintech,seed,100000000.0,mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020,2016.0,Ankur Bansal,
765,Biocon,healthcare,seed,150000000.0,bengaluru,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,1978.0,Kiran Mazumdar-Shaw,Goldman Sachs
766,Clientjoy,saas,pre-series a,8000000.0,gujarat,Client Management Software For Modern Agencies.,2020,2013.0,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat"
767,Xpressbees,e-commerce,seed,1000000000.0,pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,2015.0,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital"
768,GalaxyCard,fintech,seed,948512359.4238179,gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,2017.0,"Amit Kumar, Gunjeet Singh",India Accelerator
769,Wellness Forever,healthtech,seed,1000000000.0,mumbai,Wellness Forever is the one-stop destination for wellness,2020,2008.0,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group"
770,MoooFarm,agritech,pre-seed,5000000.0,gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,2019.0,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart"
771,BitClass,paas startup,seed,20000000.0,bengaluru,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,2020.0,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures"
772,Gonuts,entertainment,seed,4000000.0,mumbai,Personalised Video shoutouts from favourite celebrity.,2020,2020.0,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini"
773,Uolo,edtech,seed,20000000.0,bengaluru,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,2013.0,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital"
774,Kirana King,retail,pre-series a,9000000.0,"jaipur, rajastan","A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,2014.0,Anup Kumar,Rajasthan Venture Capital Fund
775,Jade Forest,food & beverages,seed,2500000.0,delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,0.0,"Punweet Singh, Shuchir Suri",
776,iKure,healthtech,seed,948512359.4238179,kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020,2010.0,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal"
777,FrontRow,edtech,seed,32000000.0,bengaluru,"Comprehensive courses, taught by idols.",2020,0.0,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone"
778,Reliance Retail,e-commerce,seed,100000000.0,mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,2006.0,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC"
779,TUBBR,social media,seed,948512359.4238179,"frisco, texas, united states",World's First Personal Social Network,2020,2019.0,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners
780,Ather Energy,automotive,series d,350000000.0,bengaluru,Ather Energy is a manufacturer of electric scooters.,2020,2013.0,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal
781,Routematic,saas,seed,20000000.0,bengaluru,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,2007.0,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra"
782,LivFin,fintech,seed,47000000.0,new delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,2017.0,Rakesh Malhotra,"DEG, KFW DEG"
783,Universal Sportsbiz Pvt Ltd,fashion,seed,948512359.4238179,bengaluru,A fashion startup based in Bengaluru.,2020,2012.0,Anjana Reddy,"Accel, Alteria Capital"
784,Lattu Kids,edtech,seed,948512359.4238179,mumbai,Lattu kids is an edutainment platform for preschool kids.,2020,2017.0,Vivek Bhutyani,Mumbai Angels Network
785,Eggoz,food & bevarages,pre-series a,15000000.0,indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,2016.0,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners"
786,Steradian Semiconductors,deeptech,seed,948512359.4238179,bengaluru,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020,2016.0,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.
787,CHARGE+ZONE,ev startup,pre-series a,30000000.0,gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,2018.0,"Kartikey Hariyani, Pavan Bakeri",Mumbai Angels
788,Stones2milestones,edtech,bridge,20000000.0,gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020,2008.0,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao"
789,Udacity,edtech,debt,750000000.0,california,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,2011.0,"David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann"
790,AjnaLens,ar/vr startup,bridge,10000000.0,thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,2014.0,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD"
791,Gully Network,e-commerce,pre-series a,12000000.0,bengaluru,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,2019.0,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners"
792,TurboHire,recruitment startup,seed,10000000.0,hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,2018.0,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures"
793,Traya,healthtech,seed,948512359.4238179,mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020,0.0,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital"
794,Charcoal Eats,qsr startup,seed,20000000.0,mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,2015.0,"Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments
795,Mitron TV,video platform,seed,948512359.4238179,bengaluru,Mitron is a free short videoplatform for next generation,2020,2020.0,"Shivank Agarwal, Anish Khandelwal",9Unicorns
796,Svami,food & bevarages,seed,8000000.0,mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,2016.0,Sahil Jatana,"Niren Shah, Rukam Capital Trust"
797,Dhurnia,edtech,seed,1000000.0,"dhingsara, haryana",Developer of an online learning platform intended for various competitive exam preparations.,2020,2018.0,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital"
798,Expertrons,edtech,seed,948512359.4238179,mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020,2019.0,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly"
799,Leena AI,ai,seed,80000000.0,"new york, united states",Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,2015.0,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt"
800,Bizlog,logistics,seed,10000000.0,bengaluru,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020,2016.0,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund
801,Tamasha.live,gaming,seed,3000000.0,mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020,2020.0,"Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque"
802,Fedo,ai,seed,10000000.0,bengaluru,Artificial Intelligence based Credit Score for Health,2020,2017.0,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City
803,FabHotels,hospitality,seed,10000000.0,gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020,2015.0,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs"
804,Freshokartz,agritech,pre-series a,10000000.0,"jaipur, rajastan","Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020,2016.0,"Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs"
805,FlexiLoans,fintech,debt,60000000.0,mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020,2016.0,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud
806,Agrix,agritech,seed,948512359.4238179,patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020,2020.0,"Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors
807,BharatAgri,agritech,pre-series a,948512359.4238179,pune,A Smart Farming Technology Platform for Indian Farmers,2020,2017.0,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient"
808,FreshtoHome,e-commerce,series c,1210000000.0,bengaluru,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,2015.0,Shan Kadavil,"Ascent Capital, Iron Pillar"
809,Credable,fintech,seed,45000000.0,mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020,2017.0,Nirav Choksi,Oaks Asset Management
810,Railofy,transportation,seed,50000000.0,mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020,2019.0,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital"
811,Finova Capital,fintech,seed,550000000.0,"jaipur, rajastan",Finova Capital is a non-banking financial company.,2020,2016.0,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital"
812,Teachmint,edtech,seed,35000000.0,bengaluru,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020,2020.0,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India
813,Peel-Works,e-commerce,seed,30000000.0,mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020,2010.0,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle"
814,Janani,fertility tech,pre-seed,2000000.0,bengaluru,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020,2020.0,Nilay Mehrotra,9Unicorns
815,Credgenics,fintech,seed,33000000.0,gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala"
816,Finelistings,luxury car startup,seed,948512359.4238179,new delhi,A Used Luxury Car Marketplace,2020,2015.0,Aneesh Mathur,Justdial
817,Wellversed,healthcare,pre-series a,948512359.4238179,new delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020,2018.0,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan"
819,Jumbotail,e-commerce,series b2,110000000.0,bengaluru,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020,2015.0,"Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs)
820,Winzo,gaming,seed,20000000.0,new delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020,2018.0,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures"
821,mCaffeine,cosmetics,series b,50000000.0,mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020,2015.0,"Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital"
822,Pocket FM,fm,series a,50000000.0,bengaluru,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020,2018.0,Rohan Nayak,"Times Group, Lightspeed"
823,Snackible,healthcare,bridge,948512359.4238179,mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020,2015.0,,"Mumbai Angels, Murali Nair"
824,FreshtoHome,e-commerce,seed,160000000.0,bengaluru,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,2015.0,Shan Kadavil,"Ascent Capital, Iron Pillar"
825,Jumbotail,retail,series b2,110000000.0,bengaluru,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020,2015.0,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures"
826,Nykaa,e-commerce,seed,948512359.4238179,mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,2012.0,Falguni Nayar,"Katrina Kaif, Steadview Capital"
827,TagZ Foods,foodtech,seed,948512359.4238179,bengaluru,TagZ Foods is a supplier of snacks and food products.,2020,2019.0,"Sagar Bhalotia, Anish Basu Roy","Exfinity Venture Partners, Shesh Kondi"
828,Genius Teacher,edtech,seed,20000000.0,mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,2016.0,"Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus"
829,Krimanshi Feeds,nutrition sector,seed,5000000.0,jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015.0,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City"
830,Origo,agritech,debt,40000000.0,gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020,2010.0,"Sunoor Kaul,",Northern Arc Capital
831,GetVantage,fintech,seed,50000000.0,mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020,2019.0,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts"
832,Betterplace,tech platform,series b,100000000.0,bengaluru,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020,2015.0,"Saurabh Tandan, Pravin Agarwala",Jungle Ventures
833,Biddano,healthcare,pre-series a,6000000.0,mumbai,India's 1st tech-enabled healthcare logistics platform.,2020,2016.0,Talha Shaikh,Windrose Capital
834,InVideo,video,series a,150000000.0,mumbai,InVideo enables you to transform your content into great videos.,2020,2017.0,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India"
835,Arzooo,retail tech,series a,75000000.0,bengaluru,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020,2016.0,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group"
836,Hubilo,tech company,seed,45000000.0,"san francisco, california, united states",World’s smartest virtual event platform that brings Experience & Intelligence together,2020,2020.0,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle"
837,BASIC Home Loan,fintech,seed,50000000.0,gurugram,"A platform for automating home loans for middle and low-income households in India,",2020,2020.0,Atul Monga,Picus Capital
838,Ketos,ai,seed,180000000.0,"san francisco, united states",KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020,2015.0,Meena Sankaran,"Citi Ventures, Illuminated Funds Group"
839,SUGAR cosmetics,cosmetics,debt,20000000.0,mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020,2012.0,"Kasuhik Mukherjee, Vineeta Singh","A91 Partners, RB Investments Pte. Ltd"
840,Signzy,fintech,seed,54000000.0,bengaluru,It is creating 'building blocks for a Digital Trust system.,2020,2015.0,"Ankit Ratan, Ankur Pandey, Arpit Ratan","GenNext Ventures, Contrarian Drishti Partners"
841,Ahaguru,edtech,series a,948512359.4238179,chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020,2012.0,"Gomathi S, Dr Balaji Sampath",Anand Mahindra
842,Tekion,ai,series c,1500000000.0,"san ramon, california",It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020,2016.0,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures"
843,Brighteye Ventures,edtech,seed,54000000.0,"paris, ile-de-france, france",Education technology venture capital firm.,2020,2017.0,David guerin,Tandem
844,EzeRx,medtech,seed,2000000.0,kolkata,Developer and manufacturer of medical devices,2020,2018.0,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty"
845,VitalTech,heathtech,seed,30000000.0,"plano, texas, united states","VitalTech is a develop technologies that empower patients to better care for their safety,",2020,2018.0,Anjan Panneer Selvam,Tech Mahindra
846,Genius Teacher,edtech,seed,20000000.0,mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,2016.0,"Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP."
847,Ultraviolette Automotive,automotive,series b,40000000.0,bengaluru,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020,2014.0,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company
848,Tring,social media,seed,948512359.4238179,mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2020,2019.0,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Sujeet Kumar, Hemesh Singh"
849,Rare Planet,retail,pre-series a,4000000.0,kolkata,Rare Planet sells handicrafts made by local artisans.,2020,2015.0,"Ranodeep Saha, Vijay Kumar",Venture Catalysts
850,GoodGamer,gaming,seed,25000000.0,bengaluru,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020,2020.0,Charles Creighton,
851,InnAccel,medtech,pre-series a,15000000.0,bengaluru,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020,2012.0,Siraj Dhanani,Mount Judi Ventures
852,Tiliter,retail,seed,75000000.0,sydney,Software that uses computer vision to recognise products without barcodes,2020,2017.0,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec"
853,Slintel,sles and marketing,seed,42000000.0,"san francisco bay area, silicon valley, west coast","Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020,2016.0,"Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners"
854,SoOLEGAL,legaltech,seed,40000000.0,new delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020,2015.0,Manish Kaul,
